t,q0,q1,q2,q3,b1,b2,b3
0.8399999738,0.9999973774,-0.0001189836,-0.0018810593,-0.0013233644,0.0005325825,0.0003960245,-0.0000930352
0.8500000238,0.9999930859,0.0000952929,-0.0028627547,-0.0023937947,0.0005086117,0.0005162779,0.0000378928
0.8600000143,0.9999960065,0.0007421924,-0.0012161974,-0.0024569551,0.0004292175,0.0003124266,0.0000474431
0.8700000048,0.9999977350,0.0002114231,-0.0016894703,-0.0012733104,0.0004928888,0.0003702528,-0.0000979795
0.8799999952,0.9999980927,-0.0005430937,-0.0018600825,0.0002871146,0.0005848578,0.0003904916,-0.0002882690
0.8899999857,0.9999989867,-0.0001516221,-0.0013152753,-0.0005502374,0.0005353899,0.0003232916,-0.0001827655
0.8999999762,0.9999977946,-0.0002859175,0.0010281493,-0.0018391998,0.0005513271,0.0000357365,-0.0000230026
0.9100000262,0.9999983907,-0.0013592284,0.0004119895,-0.0011613115,0.0006811796,0.0001116842,-0.0001043817
0.9200000167,0.9999972582,-0.0013334095,0.0010050025,-0.0016685042,0.0006796805,0.0000407489,-0.0000415771
0.9300000072,0.9999954104,-0.0009644586,0.0018403333,-0.0022058301,0.0006351534,-0.0000628861,0.0000247911
0.9399999976,0.9999913573,-0.0002699648,0.0027783865,-0.0030841478,0.0005494481,-0.0001765834,0.0001324165
0.9499999881,0.9999974370,-0.0014470586,0.0013356949,-0.0011668459,0.0006944382,0.0000012548,-0.0001002607
0.9599999785,0.9999958277,-0.0027459117,0.0005013731,0.0008251604,0.0008528510,0.0001061391,-0.0003443590
0.9700000286,0.9999965429,-0.0019611318,0.0015464603,-0.0008349607,0.0007565517,-0.0000219289,-0.0001405915
0.9800000191,0.9999938607,-0.0033386678,-0.0009539110,0.0004738044,0.0009252406,0.0002851261,-0.0002984191
0.9900000095,0.9999725223,-0.0056512053,-0.0031630155,0.0036168364,0.0012090338,0.0005557998,-0.0006830128
1.0000000000,0.9999758005,-0.0054798988,-0.0016707743,0.0039403746,0.0011873863,0.0003725456,-0.0007225863
1.0099999905,0.9999846220,-0.0047790590,-0.0011299156,0.0026001364,0.0011019774,0.0003067522,-0.0005581090
1.0199999809,0.9999906421,-0.0038842272,0.0003103176,0.0019020098,0.0009916264,0.0001304121,-0.0004710027
1.0299999714,0.9999945760,-0.0031190296,0.0007043309,0.0008598337,0.0008962078,0.0000813105,-0.0003428851
1.0399999619,0.9999940395,-0.0033307290,-0.0005623968,0.0008052544,0.0009202893,0.0002375141,-0.0003354455
1.0499999523,0.9999884367,-0.0040439479,-0.0006434684,0.0025386543,0.0010079190,0.0002505307,-0.0005449325
1.0599999428,0.9999911189,-0.0038074548,-0.0006234826,0.0017231597,0.0009780461,0.0002490991,-0.0004454892
1.0700000525,0.9999921322,-0.0036247997,-0.0001876500,0.0016542927,0.0009549581,0.0001958129,-0.0004358470
1.0800000429,0.9999922514,-0.0036109621,-0.0003651915,0.0015456898,0.0009517719,0.0002187499,-0.0004204257
1.0900000334,0.9999863505,-0.0040764078,0.0003392244,0.0032477328,0.0010072385,0.0001346898,-0.0006268630
1.1000000238,0.9999892712,-0.0012925438,-0.0022874547,0.0038101741,0.0006668570,0.0004588665,-0.0006940006
1.1100000143,0.9999899268,0.0006768548,-0.0033052245,0.0029550693,0.0004257352,0.0005830284,-0.0005886464
1.1200000048,0.9999855161,0.0017111083,-0.0047392468,0.0019004956,0.0003012238,0.0007589997,-0.0004579802
1.1299999952,0.9999837279,0.0019227643,-0.0044502215,0.0030128772,0.0002734576,0.0007226943,-0.0005899024
1.1399999857,0.9999877214,0.0031511015,-0.0035582962,0.0014175734,0.0001241467,0.0006150688,-0.0003946883
1.1499999762,0.9999881983,0.0037574188,-0.0028078475,0.0013178103,0.0000513208,0.0005273587,-0.0003816430
1.1599999666,0.9999871850,0.0047592074,-0.0016890306,0.0003629198,-0.0000708535,0.0003917643,-0.0002638441
1.1699999571,0.9999850988,0.0039066602,-0.0034950527,0.0015246526,0.0000324766,0.0006127110,-0.0004046909
1.1799999475,0.9999862313,0.0040544369,-0.0029579662,0.0015052169,0.0000160046,0.0005486479,-0.0004007845
1.1900000572,0.9999856949,0.0041372725,-0.0032183414,0.0010953016,0.0000057059,0.0005829742,-0.0003504009
1.2000000477,0.9999979734,0.0019335402,0.0004935174,0.0002095826,0.0002770492,0.0001321820,-0.0002413424
1.2100000381,0.9999977350,0.0009666690,0.0017184847,-0.0008335714,0.0003944893,-0.0000151508,-0.0001125874
1.2200000286,0.9999988675,-0.0007279970,0.0011505823,0.0006805010,0.0006007255,0.0000540361,-0.0002983208
1.2300000191,0.9999956489,-0.0020152472,0.0008219694,0.0020056074,0.0007575034,0.0000938472,-0.0004592488
1.2400000095,0.9999960661,-0.0021569231,0.0010831566,0.0014794951,0.0007733045,0.0000629537,-0.0003939128
1.2500000000,0.9999957681,-0.0022591450,0.0011946433,0.0013614650,0.0007859880,0.0000511242,-0.0003796105
1.2599999905,0.9999932051,-0.0005992064,0.0035394095,-0.0008666735,0.0005816558,-0.0002344507,-0.0001083129
1.2699999809,0.9999955893,-0.0008139269,0.0028611592,-0.0003300343,0.0006057208,-0.0001524346,-0.0001726253
1.2799999714,0.9999901652,0.0004228511,0.0037328880,-0.0023802479,0.0004536879,-0.0002586719,0.0000770751
1.2899999619,0.9999955297,-0.0003449567,0.0028803165,-0.0007185789,0.0005473729,-0.0001540098,-0.0001253016
1.2999999523,0.9999987483,-0.0006507211,0.0014368201,0.0002121277,0.0005848490,0.0000218417,-0.0002363544
1.3099999428,0.9999981523,-0.0012407867,0.0006445291,0.0013535499,0.0006575576,0.0001183190,-0.0003747414
1.3200000525,0.9999991655,-0.0009052891,0.0007504401,0.0005433979,0.0006161075,0.0001065675,-0.0002762622
1.3300000429,0.9999990463,-0.0005190909,0.0012712162,0.0001640934,0.0005689316,0.0000426365,-0.0002288242
1.3400000334,0.9999978542,-0.0013510350,0.0003293088,0.0015337544,0.0006690811,0.0001579793,-0.0003965495
1.3500000238,0.9999994636,-0.0008127150,0.0006117046,0.0002248155,0.0006026299,0.0001247221,-0.0002395155
1.3600000143,0.9999981523,-0.0000310223,0.0018691070,-0.0004791247,0.0005060910,-0.0000292063,-0.0001542391
1.3700000048,0.9999987483,-0.0011799569,0.0000238994,0.0010837517,0.0006432617,0.0001960536,-0.0003441218
1.3799999952,0.9999995232,-0.0008537664,0.0003770782,0.0003012779,0.0006042022,0.0001531345,-0.0002489451
1.3899999857,0.9999979138,-0.0015368572,-0.0004589197,0.0012506695,0.0006868456,0.0002539965,-0.0003630058
1.3999999762,0.9999975562,-0.0001216381,0.0001862703,0.0021976037,0.0005133559,0.0001779803,-0.0004774393
1.4099999666,0.9999974370,0.0011908353,0.0009199569,0.0017022172,0.0003533948,0.0000883133,-0.0004169936
1.4199999571,0.9999921918,0.0026942454,0.0027453750,0.0009017208,0.0001677322,-0.0001316419,-0.0003174158
1.4299999475,0.9999923110,0.0031141634,0.0022924382,0.0006791709,0.0001181048,-0.0000759186,-0.0002897184
1.4400000572,0.9999959469,0.0025309734,0.0005329482,0.0011980886,0.0001880694,0.0001382668,-0.0003537293
1.4500000477,0.9999937415,0.0019580419,0.0008769954,0.0028087317,0.0002579944,0.0000958948,-0.0005476483
1.4600000381,0.9999930263,0.0022907755,0.0016487555,0.0024557407,0.0002214325,0.0000030116,-0.0005018183
1.4700000286,0.9999923110,0.0019908273,0.0014935544,0.0030418655,0.0002576532,0.0000211824,-0.0005722576
