t,q0,q1,q2,q3,b1,b2,b3
0.7800000000,0.9999896888,-0.0043924730,-0.0011524536,0.0000198023,0.0010636533,0.0003087661,-0.0002588903
0.7900000000,0.9999915875,-0.0040928639,-0.0001692810,-0.0002112776,0.0010251698,0.0001880790,-0.0002291627
0.8000000000,0.9999972513,-0.0018002139,-0.0006114813,-0.0013721377,0.0007420925,0.0002414125,-0.0000869165
0.8100000000,0.9999954812,-0.0015735456,-0.0024520013,-0.0007410666,0.0007122964,0.0004692847,-0.0001650864
0.8200000000,0.9999961125,-0.0001111645,-0.0015221207,-0.0023336262,0.0005341906,0.0003540612,0.0000304224
0.8300000000,0.9999978108,-0.0003228675,-0.0017833718,-0.0010457922,0.0005584919,0.0003847749,-0.0001263534
0.8400000000,0.9999973481,-0.0001189651,-0.0018810604,-0.0013233681,0.0005325863,0.0003960814,-0.0000929997
0.8500000000,0.9999930327,0.0000953070,-0.0028627453,-0.0023937904,0.0005086161,0.0005163333,0.0000379269
0.8600000000,0.9999959667,0.0007421995,-0.0012161938,-0.0024569574,0.0004292231,0.0003124831,0.0000474780
0.8700000000,0.9999977398,0.0002114335,-0.0016894727,-0.0012733145,0.0004928938,0.0003703099,-0.0000979440
0.8800000000,0.9999980814,-0.0005430741,-0.0018600759,0.0002871227,0.0005848613,0.0003905476,-0.0002882344
0.8900000000,0.9999989722,-0.0001516100,-0.0013152708,-0.0005502352,0.0005353945,0.0003233479,-0.0001827305
0.9000000000,0.9999977393,-0.0002859029,0.0010281497,-0.0018391987,0.0005513313,0.0000357940,-0.0000229680
0.9100000000,0.9999983171,-0.0013591953,0.0004119916,-0.0011613006,0.0006811812,0.0001117412,-0.0001043481
0.9200000000,0.9999972141,-0.0013333875,0.0010050122,-0.0016684951,0.0006796834,0.0000408052,-0.0000415434
0.9300000000,0.9999954087,-0.0009644227,0.0018403359,-0.0022058206,0.0006351548,-0.0000628287,0.0000248244
0.9400000000,0.9999913479,-0.0002699255,0.0027783892,-0.0030841386,0.0005494493,-0.0001765257,0.0001324494
0.9500000000,0.9999973802,-0.0014470354,0.0013356963,-0.0011668480,0.0006944409,0.0000013121,-0.0001002256
0.9600000000,0.9999957639,-0.0027458834,0.0005013669,0.0008251549,0.0008528525,0.0001061970,-0.0003443226
0.9700000000,0.9999965327,-0.0019611083,0.0015464606,-0.0008349620,0.0007565540,-0.0000218714,-0.0001405563
0.9800000000,0.9999938595,-0.0033386383,-0.0009539002,0.0004738141,0.0009252417,0.0002851815,-0.0002983847
0.9900000000,0.9999724886,-0.0056511769,-0.0031630122,0.0036168385,0.0012090341,0.0005558554,-0.0006829762
